request_id,timestamp,customer_id,api_key,source_ip,model_id,provider,channel_id,input_tokens,output_tokens,total_tokens,first_token_latency_ms,latency_ms,status_code,error_code,estimated_cost,data_origin,cost_origin,safety_hit
req_004710,2026-07-01 00:01:55,C004,key_c004_1,10.44.126.107,DeepSeek-V4,DeepSeek,api,817,351,1168,711,1751,200,,0.001402,synthetic_calibrated,synthetic_assumption,False
req_007656,2026-07-01 00:03:54,C001,key_c001_2,10.121.17.142,DeepSeek-V4,DeepSeek,api,678,221,899,434,1096,200,,0.001079,synthetic_calibrated,synthetic_assumption,False
req_003260,2026-07-01 00:06:00,C009,key_c009_3,10.133.136.114,DeepSeek-V4,DeepSeek,api,1821,124,1945,394,1356,200,,0.002334,synthetic_calibrated,synthetic_assumption,False
req_002537,2026-07-01 00:06:34,C003,key_c003_2,10.67.58.124,DeepSeek-V4,DeepSeek,api,1476,129,1605,439,1068,200,,0.001926,synthetic_calibrated,synthetic_assumption,False
req_005960,2026-07-01 00:11:51,C003,key_c003_3,10.122.123.173,DeepSeek-V4,DeepSeek,api,313,80,393,379,1319,200,,0.000472,synthetic_calibrated,synthetic_assumption,False
req_005385,2026-07-01 00:12:27,C004,key_c004_1,10.89.52.102,DeepSeek-V4,DeepSeek,app,158,69,227,392,1696,200,,0.000272,synthetic_calibrated,synthetic_assumption,False
req_008187,2026-07-01 00:14:12,C001,key_c001_2,10.138.246.167,DeepSeek-V4,DeepSeek,api,618,410,1028,495,1464,200,,0.001234,synthetic_calibrated,synthetic_assumption,False
req_009470,2026-07-01 00:14:44,C001,key_c001_1,10.91.177.6,DeepSeek-V4,DeepSeek,web,1667,101,1768,673,1658,200,,0.002122,synthetic_calibrated,synthetic_assumption,False
req_000928,2026-07-01 00:15:14,C009,key_c009_3,10.71.35.21,DeepSeek-V4,DeepSeek,api,295,450,745,538,1858,200,,0.000894,synthetic_calibrated,synthetic_assumption,False
req_003053,2026-07-01 00:18:42,C001,key_c001_2,10.199.73.10,DeepSeek-V4,DeepSeek,api,475,161,636,378,1543,200,,0.000763,synthetic_calibrated,synthetic_assumption,False
req_004725,2026-07-01 00:19:30,C007,key_c007_3,10.42.193.203,DeepSeek-V4,DeepSeek,app,650,125,775,520,1755,200,,0.00093,synthetic_calibrated,synthetic_assumption,False
req_000867,2026-07-01 00:21:29,C003,key_c003_2,10.166.204.31,Minimax-M2.5,MiniMax,web,426,172,598,478,1841,200,,0.001435,synthetic_calibrated,synthetic_assumption,False
req_007798,2026-07-01 00:21:45,C010,key_c010_3,10.235.45.33,DeepSeek-V4,DeepSeek,app,541,304,845,378,1172,400,BAD_REQUEST,0.001014,synthetic_calibrated,synthetic_assumption,False
req_007326,2026-07-01 00:24:30,C003,key_c003_3,10.158.201.212,DeepSeek-V4,DeepSeek,web,305,102,407,396,1323,200,,0.000488,synthetic_calibrated,synthetic_assumption,False
req_009860,2026-07-01 00:24:54,C001,key_c001_3,10.16.9.108,DeepSeek-V4,DeepSeek,api,391,280,671,282,1203,200,,0.000805,synthetic_calibrated,synthetic_assumption,False
req_009667,2026-07-01 00:26:23,C003,key_c003_2,10.12.37.18,Qwen3.6-35B-A3B,Qwen,app,472,354,826,468,1748,200,,0.001322,synthetic_calibrated,synthetic_assumption,False
req_006781,2026-07-01 00:26:43,C002,key_c002_2,10.23.153.179,DeepSeek-V4,DeepSeek,api,1098,220,1318,582,1553,200,,0.001582,synthetic_calibrated,synthetic_assumption,False
req_009119,2026-07-01 00:28:24,C005,key_c005_3,10.57.39.240,DeepSeek-V4,DeepSeek,app,610,332,942,443,1207,200,,0.00113,synthetic_calibrated,synthetic_assumption,False
req_004436,2026-07-01 00:29:34,C004,key_c004_1,10.138.173.193,DeepSeek-V4,DeepSeek,app,257,202,459,679,1536,200,,0.000551,synthetic_calibrated,synthetic_assumption,False
